Year,Institute,EEP80,EEP50,EEP20,Opportunity_Width,Beta0,Beta1,Pseudo_R2,GLM_Converged,N_Obs_Fit,Model_Note
2025,NHGRI,2.93,5.87,8.81,5.88,2.7669,-0.4712,0.7968,True,49,
2025,NHLBI,10.6,14.59,18.58,7.98,5.0668,-0.3473,0.8752,True,50,
2025,NIA,4.0,8.31,12.63,8.63,2.6703,-0.3213,0.8477,True,50,
2025,NIAAA,1.4,12.76,24.13,22.73,1.5567,-0.122,0.487,True,48,
2025,NIAID,8.11,13.06,18.01,9.9,3.6577,-0.2801,0.8502,True,50,
2025,NIAMS,8.3,12.37,16.44,8.14,4.2154,-0.3408,0.8183,True,50,
2025,NICHD,6.49,12.43,18.37,11.88,2.9026,-0.2335,0.7889,True,50,
2025,NIDA,5.43,10.73,16.02,10.59,2.8101,-0.262,0.7432,True,50,
2025,NIDCD,8.55,13.52,18.48,9.93,3.7744,-0.2792,0.7735,True,50,
2025,NIDCR,6.43,16.97,27.5,21.07,2.2331,-0.1316,0.5017,True,49,
2025,NIDDK,5.25,10.01,14.77,9.52,2.9164,-0.2914,0.8342,True,50,
2025,NIGMS,,7.91,15.73,,1.4013,-0.1772,0.6606,True,50,
2025,NIMH,3.16,10.33,17.49,14.33,1.9984,-0.1935,0.7666,True,50,
2025,NIMHD,,2.96,12.51,,0.4304,-0.1452,0.4528,True,47,
2025,NINDS,7.15,9.47,11.79,4.64,5.6584,-0.5977,0.9003,True,50,
2025,NINR,,10.42,25.18,,0.9787,-0.0939,0.2226,True,26,
2025,NLM,10.78,14.11,17.43,6.65,5.8791,-0.4168,0.7096,True,35,
