file,year,institute,status,rows,notes
NDB_Report_ID_302_exp_03062026(70).xlsx,2015,NIA,ok,57,
NDB_Report_ID_302_exp_03062026(71).xlsx,2014,NIA,warning,62,Suppressed 'D' in R56 Awards: 62 rows → NaN
NDB_Report_ID_302_exp_03062026(72).xlsx,2014,NIAAA,ok,53,
NDB_Report_ID_302_exp_03062026(73).xlsx,2015,NIAAA,ok,57,
NDB_Report_ID_302_exp_03062026(74).xlsx,2016,NIAAA,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(75).xlsx,2017,NIAAA,ok,55,
NDB_Report_ID_302_exp_03062026(76).xlsx,2018,NIAAA,warning,52,Suppressed 'D' in R56 Awards: 52 rows → NaN
NDB_Report_ID_302_exp_03062026(77).xlsx,2019,NIAAA,ok,52,
NDB_Report_ID_302_exp_03062026(78).xlsx,2020,NIAAA,warning,53,Suppressed 'D' in R56 Awards: 53 rows → NaN
NDB_Report_ID_302_exp_03062026(79).xlsx,2021,NIAAA,ok,54,
NDB_Report_ID_302_exp_03062026(8).xlsx,2017,ALL NIH,ok,82,
NDB_Report_ID_302_exp_03062026(80).xlsx,2022,NIAAA,ok,56,
NDB_Report_ID_302_exp_03062026(81).xlsx,2023,NIAAA,ok,53,
NDB_Report_ID_302_exp_03062026(82).xlsx,2024,NIAAA,warning,54,Suppressed 'D' in R56 Awards: 54 rows → NaN
NDB_Report_ID_302_exp_03062026(83).xlsx,2025,NIAAA,ok,52,
NDB_Report_ID_302_exp_03062026(84).xlsx,2025,NIAID,ok,65,
NDB_Report_ID_302_exp_03062026(85).xlsx,2024,NIAID,ok,65,
NDB_Report_ID_302_exp_03062026(86).xlsx,2023,NIAID,ok,64,
NDB_Report_ID_302_exp_03062026(87).xlsx,2022,NIAID,ok,58,
NDB_Report_ID_302_exp_03062026(88).xlsx,2021,NIAID,ok,58,
NDB_Report_ID_302_exp_03062026(89).xlsx,2020,NIAID,ok,59,
NDB_Report_ID_302_exp_03062026(9).xlsx,2016,ALL NIH,ok,82,
NDB_Report_ID_302_exp_03062026(90).xlsx,2019,NIAID,ok,62,
NDB_Report_ID_302_exp_03062026(91).xlsx,2018,NIAID,ok,64,
NDB_Report_ID_302_exp_03062026(92).xlsx,2017,NIAID,ok,62,
NDB_Report_ID_302_exp_03062026(93).xlsx,2016,NIAID,ok,66,
NDB_Report_ID_302_exp_03062026(94).xlsx,2015,NIAID,ok,59,
NDB_Report_ID_302_exp_03062026(95).xlsx,2014,NIAID,ok,62,Dropped 1 row(s) with Percentile=0
NDB_Report_ID_302_exp_03062026(96).xlsx,2014,NIAMS,warning,57,Suppressed 'D' in R56 Awards: 58 rows → NaN; Dropped 1 row(s) with Percentile=0
NDB_Report_ID_302_exp_03062026(97).xlsx,2015,NIAMS,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026(98).xlsx,2016,NIAMS,ok,58,
NDB_Report_ID_302_exp_03062026(99).xlsx,2017,NIAMS,warning,56,Suppressed 'D' in R56 Awards: 56 rows → NaN
NDB_Report_ID_302_exp_03062026.xlsx,2025,ALL NIH,ok,65,
